id,input,reference_answer
24,"Bursa'da internetim çok yavaş, indirme hızım düştü.","Bursa'da internet hızınızın düştüğünü ve indirme hızınızın etkilendiğini anlıyorum. Bu durumun olası nedenleri arasında bölgesel altyapı yoğunluğu, ağda tıkanıklık veya hattınızdaki kapasite kısıtlamaları olabilir. Müşteri numaranızı alarak Bursa bölgesindeki olası altyapı sorunlarını ve hız testinizi detaylıca kontrol edebiliriz."
25,"Netflix izlerken sürekli duraksıyor, diğer videolar normal.","Netflix izlerken sürekli duraksama, ancak diğer videoların normal çalışması, genellikle internet hızınızın streaming platformuna yetersiz kalması, IP oturumu sorunları veya QoS ayarlarıyla ilgili olabilir. Müşteri numaranızı alarak IP oturumunuzu sıfırlamayı deneyebilir ve hız testi sonuçlarınızla Netflix'in önerdiği hızları karşılaştırabiliriz."
26,"Modemimi değiştirdim ama yine aynı sorunlar var, ışık yanmıyor.","Modeminizi değiştirmenize rağmen hala ışıkların yanmaması, sorunun modemin kendisinden ziyade elektrik bağlantısı veya hattınızdan kaynaklandığını gösterir. Modeminizi farklı bir prizde deneyin. Ardından müşteri numaranızı alarak yeni modeminizin konfigürasyonunu kontrol etmeli ve hattınızda kapsamlı bir test başlatmalıyız."
27,"Adana'da internetim sabah çalışıyor, öğleden sonra kopuyor.","Adana'da internetinizin günün belirli saatlerinde, özellikle öğleden sonra kopması, o saatlerde bölgesel ağdaki yoğunluk veya altyapıdaki periyodik bakım çalışmalarından kaynaklanabilir. Müşteri numaranızı alarak Adana bölgesindeki olası arızaları ve rutin bakım kontrollerini inceleyebiliriz."
28,"Xbox Live'a bağlanamıyorum, internet var ama oyun oynayamıyorum.","Xbox Live'a bağlanamamanız ancak diğer internet işlemlerinizin normal olması, genellikle oyun konsolunun ağ ayarları, port yapılandırması veya IP oturumu çakışmasıyla ilgili olabilir. Müşteri numaranızı alarak IP oturumunuzu sıfırlamayı deneyebilir ve size port yönlendirme ayarları hakkında bilgi verebilirim."
29,"Müşteri ID 10000001, modem ışıkları sürekli kırmızı yanıyor.","Müşteri ID 10000001'e ait modeminizin sürekli kırmızı ışık yakması, ciddi bir bağlantı hatası veya modem arızasına işaret ediyor. Bu durumun olası nedenleri arasında servis kesintisi, DSL sinyal kaybı veya modem donanım sorunu bulunur. Öncelikle hizmet durumunuzu ve modeminizdeki DSL ışığının konfigürasyonunu kontrol etmeliyiz. Hattınızda detaylı bir test başlatarak sorunun kaynağını belirleyebiliriz."
30,"Antalya'da fiber internetim kopuk kopuk çalışıyor.","Antalya'da fiber internetinizin kopuk kopuk çalışması, fiber hattınızda sinyal kaybı, bölgesel altyapıda sorunlar veya modeminizde arıza olabileceğini düşündürüyor. Müşteri numaranızı alarak hattınızda fiber hat testi yapmalı ve Antalya bölgesindeki altyapı durumunu kontrol etmeliyiz."
31,"Zoom toplantılarında ses gidiyor geliyor, video donuyor.","Zoom toplantılarında yaşadığınız ses ve video sorunları, internet hızınızın veya bağlantı kalitenizin video konferans için yetersiz kalmasından kaynaklanır. Bu durum, özellikle upload hızınızın düşük olması veya ağdaki yoğunluktan etkilenebilir. Müşteri numaranızı alarak hız testi yapmalı ve gerekirse IP oturumunuzu sıfırlayarak bağlantınızı optimize etmeliyiz."
32,"Modemim çok sıcak oluyor ve sonra internet kopuyor.","Modeminizin aşırı ısınması ve ardından internetin kopması, modemin dahili donanımında bir arıza veya yetersiz soğutma nedeniyle performansı düşmesinden kaynaklanabilir. Öncelikle modemin etrafındaki hava akışını kontrol edin ve fişten çekip 30 saniye bekledikten sonra tekrar takın. Müşteri numaranızı alarak modeminizin durumunu kontrol edebilir ve gerekirse arıza kaydı oluşturabiliriz."
33,"Gaziantep'te yaşıyorum, her gün aynı saatte internet kopuyor.","Gaziantep'te her gün aynı saatte internetinizin kopması, bölgesel altyapıda düzenli bakım çalışmaları, peak saat yoğunluğu veya sistemsel bir rutinle ilgili olabilir. Müşteri numaranızı alarak Gaziantep bölgesindeki olası arızaları ve rutin bakım kontrollerini inceleyebilirim."
34,"WhatsApp Web çalışmıyor ama diğer siteler açılıyor.","WhatsApp Web'in çalışmaması ancak diğer sitelerin açılması, genellikle belirli portların engellenmesi, DNS ayarları veya IP oturumu çakışmasından kaynaklanır. Müşteri numaranızı alarak IP oturumunuzu sıfırlamayı deneyebiliriz ve size farklı DNS sunucusu ayarlarını denemenizi önerebilirim."
35,"Müşteri numarası 10000002, sadece WiFi çalışmıyor, kablo normal.","Müşteri numarası 10000002'ye ait sadece WiFi'nin çalışmaması ve kablolu bağlantının normal olması, modeminizin WiFi donanımında veya kablosuz ayarlarında bir sorun olduğunu gösterir. Öncelikle hizmet durumunuzu kontrol etmeli, ardından modeminizin WiFi antenini ve kablosuz ayarlarını incelemeliyiz."
36,"Kayseri'de fiber modemim mavi ışık yanıyor ama internet yok.","Kayseri'de fiber modeminizin mavi ışık yakıp internet bağlantısının olmaması, genellikle fiber sinyalinde bir kopukluk, bölgesel altyapı sorunu veya modem konfigürasyon hatasından kaynaklanır. Müşteri numaranızı alarak fiber sinyal kontrolü yapmalı ve Kayseri bölgesindeki altyapı durumunu incelemeliyiz."
37,"Steam oyun indirirken internet çok yavaşlıyor.","Steam'den oyun indirirken internet hızınızın düşmesi, genellikle yüksek bant genişliği kullanımı, QoS ayarlarının yetersizliği veya arka planda çalışan diğer uygulamalarla ilgilidir. Müşteri numaranızı alarak upload trafiğinizi analiz edebilir ve IP oturumunuzu sıfırlayarak bant genişliği yönetimi konusunda yardımcı olabiliriz."
38,"Modemimi kapatıp açtım, şimdi hiç ışık yanmıyor.","Modeminizi kapatıp açmanıza rağmen hiç ışık yanmaması, daha ciddi bir arıza olduğunu ve modeminize güç gelmediğini düşündürüyor. Müşteri numaranızı alarak modeminizi fabrika ayarlarına sıfırlama (eğer mümkünse) veya konfigürasyonu geri yükleme adımlarını düşünebilir, gerekirse arıza kaydı oluşturabiliriz."
39,"Samsun'da ADSL internetim çok yavaş, fiber geçmek istiyorum.","Samsun'da ADSL internetinizin yavaş olduğunu ve fiber internete geçmek istediğinizi anlıyorum. Müşteri numaranızı alarak adresinizde fiber altyapı uygunluğunu kontrol edebilir ve size mevcut fiber paketlerimizi ve değişim süreçlerini detaylıca anlatabilirim."
40,"Instagram ve Facebook açılmıyor, Google açılıyor.","Instagram ve Facebook'a erişim sağlayamamanız ancak Google'a erişebilmeniz, genellikle belirli servislerin engellenmesi, DNS ayarları veya IP oturumu çakışmasından kaynaklanır. Müşteri numaranızı alarak IP oturumunuzu sıfırlamayı deneyebiliriz ve size farklı DNS sunucusu ayarlarını denemenizi önerebilirim."
41,"Müşteri ID 10000003, evde 5 cihaz var, hepsi yavaş.","Müşteri ID 10000003'e ait evdeki 5 cihazınızın yavaş çalıştığını anlıyorum. Bu durum, mevcut bant genişliğinizin yetersiz kalmasından, router kapasitesinin sınırlı olmasından veya aynı anda çok fazla cihazın interneti yoğun kullanmasından kaynaklanabilir. Hizmet durumunuzu ve bant genişliği kullanımınızı analiz edebiliriz."
42,"Trabzon'da modemim sürekli yeniden başlıyor kendiliğinden.","Trabzon'da modeminizin kendiliğinden sürekli yeniden başlaması, bir güç sorunu, aşırı ısınma, firmware hatası veya dahili bir arıza olabileceğini gösterir. Müşteri numaranızı alarak modeminizin kararlılık testini yapmalı ve güç kaynağını kontrol etmeliyiz."
43,"Online oyunlarda ping çok yüksek, diğer kullanım normal.","Online oyunlarda yüksek ping, ancak diğer kullanımların normal olması, genellikle ağ gecikmesi, IP oturumu çakışması veya oyun sunucularına olan bağlantı kalitesinden kaynaklanır. Müşteri numaranızı alarak ping testi yapmalı, IP oturumunuzu sıfırlamayı denemeli ve size oyun optimizasyonu için öneriler sunabiliriz."
44,"Yeni modem kurduk ama WiFi şifresi çalışmıyor.","Yeni modeminizi kurmanıza rağmen WiFi şifresinin çalışmaması, yanlış şifre girişi, modem konfigürasyon hatası veya WiFi ayarlarındaki bir problemden kaynaklanır. Müşteri numaranızı alarak WiFi şifresini sıfırlama veya modeminizin kablosuz ayarlarını yeniden yapılandırma konusunda yardımcı olabiliriz."
45,"Eskişehir'de yaşıyorum, upload hızım çok düşük.","Eskişehir'de upload hızınızın çok düşük olduğunu anlıyorum. Bu durum, hattınızdaki teknik bir sorun, bölgesel altyapı kısıtlaması veya genel ağ yoğunluğundan kaynaklanabilir. Müşteri numaranızı alarak hattınızın detaylı hız testini yapmalı ve Eskişehir bölgesindeki altyapı analizini gerçekleştirmeliyiz."
46,"Video konferanslarda görüntü donuyor ama ses normal.","Video konferanslarda görüntünün donması ancak sesin normal olması, genellikle internetinizin video akışını destekleyecek upload veya download hızına sahip olmaması, QoS ayarları veya bant genişliği yönetiminden kaynaklanır. Müşteri numaranızı alarak video akışı optimizasyonu için öneriler sunabilir ve bant genişliği testinizi yapabiliriz."
47,"Müşteri numarası 10000004, akıllı TV Netflix'te tampon sorunu.","Müşteri numarası 10000004'e ait akıllı TV'nizdeki Netflix tampon sorununu anlıyorum. Bu durum, internet hızınızın Netflix'in önerdiği hıza ulaşmaması, streaming kalite ayarları veya akıllı TV'nin kendi ağ ayarlarından kaynaklanabilir. Hizmet durumunuzu kontrol edip, streaming kalite ayarlarınızı optimize etme konusunda yardımcı olabiliriz."
48,"Konya'da fiber internet kesilmesi çok oluyor, neden?","Konya'da fiber internet kesintilerinin sıklaştığını anlıyorum. Bu durum genellikle Konya'daki fiber altyapı çalışmalarından, bölgesel arızalardan veya hattınızdaki sinyal sorunlarından kaynaklanır. Müşteri numaranızı alarak Konya fiber altyapı durumunu ve kesinti geçmişinizi analiz edebiliriz."
49,"Modem kablosunu değiştirdim ama hâlâ bağlantı problemi var.","Modem kablosunu değiştirmenize rağmen bağlantı sorununun devam etmesi, sorunun kablolardan ziyade hat sinyali, bölgesel altyapı veya modemin kendisiyle ilgili olabileceğini gösterir. Müşteri numaranızı alarak hattınızda sinyal kontrolü yapmalı ve güç döngüsü deneyerek durumu yeniden değerlendirmeliyiz."
50,"Cloud backup yaparken internet hızı çok düşüyor.","Bulut yedekleme yaparken internet hızınızın düşmesi, genellikle yoğun upload trafiği, bant genişliği yönetiminin yetersizliği veya QoS ayarlarından kaynaklanır. Müşteri numaranızı alarak upload trafiğinizi analiz edebilir ve bant genişliği yönetimi veya IP oturumu sıfırlama konusunda size yardımcı olabiliriz."
51,"Modemim çalışmıyor ve faturamı görmek istiyorum.","Modeminizin çalışmadığını ve faturanızı görmek istediğinizi anlıyorum. Öncelikle modeminizin güç adaptörü ve kablosunun sağlamlığını kontrol etmenizi ve modemi 30 saniye kapatıp yeniden başlatmanızı rica edeceğim. Ardından, müşteri numaranızı alarak son faturanızın detaylarını size iletebilirim."
52,"İnternetim kopuyor ve paketimi değiştirmek istiyorum.","İnternet bağlantınızdaki kopma sorununu anlıyorum ve paket değişimi talebinizi de görüyorum. Bu iki konuyu da birlikte ele alabiliriz. Öncelikle kimlik doğrulaması için müşteri numaranızı alacağım. Ardından internet sorununuzun olası nedenlerini (hizmet durumu, bölgesel arıza) kontrol edip çözüm adımlarını (IP oturumu sıfırlama) uygulayacağım. Sorun giderildikten sonra veya paralel olarak, size uygun mevcut paketleri listeleyecek ve paket değişim sürecini başlatmanıza yardımcı olacağım."
53,"Faturam yüksek geldi, ayrıca modemim de çok yavaş.","Faturanızın yüksek geldiğini ve modeminizin yavaş çalıştığını anlıyorum, bu durumları düzeltmek için buradayım. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? Daha sonra faturanızın detaylarını inceleyerek yüksekliğin nedenini açıklayacağım. Aynı zamanda, modeminizin yavaş çalışma sorununu çözmek için hız testi yapacak ve gerekirse IP oturumunuzu sıfırlama adımlarını uygulayacağım."
54,"Teknisyen randevusu alabilir miyim, ayrıca son faturamı öğrenmek istiyorum.","Evet, teknisyen randevusu oluşturabilir ve son faturanız hakkında bilgi verebilirim. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? Ardından, teknisyen randevusu planlama sürecini başlatacak, size uygun tarih ve saat seçeneklerini sunacağım. Aynı zamanda, sistemimizden son faturanızın bilgilerini (tutar, son ödeme tarihi) sorgulayıp size ileteceğim."
55,"Modem ışığı yanmıyor ve geri arama talep ediyorum.","Modeminizin ışığının yanmaması, bir güç veya bağlantı sorununa işaret ediyor. Size yardımcı olabilmek için kimlik doğrulamanız (müşteri numarası ile) gerekiyor. Modeminizi fişten çekip 30 saniye sonra tekrar takmayı denemenizi önereceğim. Eğer sorun devam ederse, teknik destek ekibimizin sizinle iletişime geçmesi için geri arama talebinizi oluşturabilirim. Size uygun bir zaman dilimi var mı?"
56,"İnternetim kopuyor, faturamda bir sorun var mı acaba?","İnternet bağlantınızdaki kopma sorununu ve faturanızla ilgili endişelerinizi anlıyorum. Her iki konuyu da ele alabiliriz. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? İlk olarak internet bağlantınızın (hizmet durumu, bölgesel arıza) kontrolünü yapacağım. Ardından, faturanızın detaylarını kontrol ederek herhangi bir sorun olup olmadığını inceleyeceğim."
57,"Müşteri ID 1234567, bağlantım çok yavaş ve taahhüdümü öğrenmek istiyorum.","Müşteri ID 1234567'ye ait bağlantı hızınızı ve taahhüt bilgilerinizi detaylıca kontrol ediyorum. İnternet hızınızdaki düşüşün olası nedenlerini belirlemek için hizmet durumunuzu ve hız testinizi inceleyeceğim. Ayrıca, taahhüt sorgulama yaparak mevcut taahhüt bitiş tarihinizi ve koşullarınızı size bildireceğim."
58,"Modemim çalışmıyor ve teknik servis numaranızı öğrenebilir miyim?","Modeminizin çalışmadığını anlıyorum. Size yardımcı olabilmek için kimlik doğrulamanız (müşteri numarası ile) gerekiyor. Öncelikle modeminizin güç adaptörünü kontrol edip yeniden başlatmayı denemenizi önereceğim. Eğer sorun devam ederse, teknik destek ekibimize ulaşabileceğiniz iletişim bilgilerini ve tahmini bekleme süresini size iletebilirim."
59,"İnternetim kesiliyor, aynı zamanda kota sorgulamak istiyorum.","İnternet bağlantınızdaki kesintiyi ve güncel kota sorgulama talebinizi anlıyorum. Her iki konuyu da ele alalım. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? İlk olarak internet bağlantınızın durumunu (hizmet, bölgesel arıza) kontrol edip çözüm adımlarını (IP oturumu sıfırlama) uygulayacağım. Ardından, mevcut kota kullanımınızı ve kalan kotanızı size bildirebilirim."
60,"Faturamda yanlışlık olduğunu düşünüyorum ve internetim kopuk kopuk.","Faturanızda yanlışlık olduğunu düşünmeniz ve internet bağlantınızdaki sorunlar için yardımcı olabilirim. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? Faturanızdaki detayları inceleyerek itiraz sürecini başlatabilirim. Aynı zamanda, internet bağlantınızdaki kopukluk sorununu çözmek için hizmet durumunuzu kontrol edecek ve IP oturumunuzu sıfırlama gibi adımları uygulayacağım."
61,"Modemimdeki ışıklar yanmıyor, ayrıca paket yükseltmek istiyorum.","Modeminizdeki ışıkların yanmaması bir arıza göstergesi. Bu konuyu ve paket yükseltme talebinizi aynı anda ele alabiliriz. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? İlk olarak modeminizi güç döngüsü ile yeniden başlatmayı deneyeceğiz. Eğer sorun devam ederse, modem arızası için bir işlem başlatıp, bu arada size uygun mevcut paketleri listeleerek yükseltme seçeneklerini sunacağım."
62,"Müşteri ID 7890123, internetim çok yavaşladı, kaç günlük faturam var?","Müşteri ID 7890123'e ait internet hızınızın düştüğünü ve güncel fatura bilgilerinizi öğrenmek istediğinizi anlıyorum. Size yardımcı olabilmek için hizmet durumunuzu kontrol edecek, hız testi başlatacak ve ardından güncel faturanızın tutarını ve son ödeme tarihinizi size bildireceğim."
63,"Teknisyen randevumu iptal etmek ve yeni bir tarih almak istiyorum.","Evet, teknisyen randevunuzu iptal edebilir ve size uygun yeni bir tarih için yardımcı olabilirim. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? Ardından, mevcut randevunuzu iptal edip, teknisyen randevu planlama aracımız üzerinden sizin için yeni bir tarih ve saat seçeneği belirleyeceğiz."
64,"Evde internet yok ve internet ayarlarımı güncelleyebilir misiniz?","Evde internetinizin olmaması ciddi bir sorun. Ayrıca internet ayarlarınızı güncelleme talebinizi de anlıyorum. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? İlk olarak internet bağlantınızın (hizmet durumu, bölgesel arıza) neden kesildiğini kontrol edeceğim. Daha sonra, bağlantı sorununu çözdükten sonra veya paralel olarak, modeminizin internet ayarlarını güncelleme konusunda size rehberlik edebilirim."
